LANGUAGE=GERMAN
ab;from
ab und zu;now and again
Abend;evening
Abendessen;dinner, evening meal *Abend (evening) + essen (meal)
Abenteuer;adventure
aber;but, however
abfahren;to depart
Abfahrt, Abflug;departure *abfahren = to depart
Abfall;rubbish
Abfalleimer;bin, dustbin *abfall (rubbish) + eimer (bucket)
abholen;to meet, to pick up, to fetch
abnehmen;to lose weight, to slim
Abschleppwagen;breakdown lorry
abschliessen;to lock up
Absicht;intention
Abteil;compartment
abtrocknen;to dry up
abwaschen;to wash up
Achtung;attention
Acker;field, arable field *acre
Adresse;address
Affe;monkey
ahnen;to suspect
ähnlich;similar
Ahnung;idea
Aktentasche;briefcase
alkohol;alcohol
alkoholfrei;non alcoholic
alle;all, everyone
Allee;avenue
allein;alone
Alptraum;nightmare
also, so;therefore, so
alt;old
Alter;age
altmodisch;old fashioned
Altpapier;recycled paper
Ampel;traffic lights
amüsieren;to enjoy oneself
Ananas;pineapple *ananas (fr)
anbauen;to grow, to grow crops
andere;other
ändern;to change
anders;different
anderswo;somewhere else
anderthalb;one and a half
anfangen;to begin, to start
Anfänger;beginner
angeln;to fish
Angelrute;fishing rod
angenehm;pleasant, enjoyable
Angst haben;to be frightened, to be afraid of, to be anxious, to be worried
ängstlich;anxious
anhalten;to stop, to stop a vehicle
ankommen;to arrive
Ankunft;arrival
anmachen;to put on, turn on
Anmeldung;reception
annehmen;to accept
anprobieren;to try on
Anrichte;sideboard
anrufen;to phone
anschalten;to switch on
anschauen, ansehen;to look at
anschnallen;to fasten seat belt
Ansichtskarte;postcard
anspringen;to start, to start a car
anstrengend;tiring
Antwort;answer
antworten;to answer
Anzeige;advertisement
anziehen;to put on, to attract
anziehen sich;to get dressed
Anzug;suit, men's suit, mens suit
anzünden;to light
Apfel;apple
Apfelsine, Orange;orange
Apotheker;chemist, pharmacist, apothecary
Appetit;appetite
Aprikose;apricot
Arbeit;work
arbeiten;to work
Arbeiter;worker, male worker
Arbeiterin;worker, female worker
Arbeitgeber;employer *lit. work giver
Arbeitnehmer;employee
Arbeitsamt;job centre
arbeitslos;unemployed
Arbeitslosigkeit;unemployment
Arbeitszimmer;study
ärgerlich;annoying
ärgern;to annoy
arm;poor
Armband;bracelet
Armbanduhr;wristwatch, wrist watch *Armband (bracelet) + Uhr (hour)
Armee;army
Art;sort, kind
artig;well behaved
Arzt;doctor, male doctor
Ärztin;doctor, female doctor
auch;also
Auf Wiedersehen;goodbye
Aufenthalt;stay
Aufenthaltsdauer;length, length of stay *Aufenthalt (stay) + s + Dauer (duration)
aufführen;to perform
Aufführung;performance *aufführen = to perform
Aufgabe;exercise, task
aufgeben;to stop, to give up
aufgeregt;excited
Aufheiterungen;bright periods
aufhören;to stop, to stop doing something
aufmachen;to open
aufpassen;to pay attention
aufräumen;to tidy, to clear up, to clear away
Aufsatz;essay
aufschließen;to unlock
Aufschnitt;sliced meats
aufstehen;to get up, stand up
aufwachen;to wake up
Aufzug;lift, elevator
Auge;eye
Augenblick;moment
ausbilden;to train
Ausbildung;training
Ausflug;excursion, trip
ausfüllen;to fill in, to fill in a form
Ausgang, Ausfahrt;exit, building exit, motorway exit
ausgeben;to spend, to spend money
ausgehen;to go out
ausgezeichnet;excellent
auskommen mit; to get on with
Auskunft;information
Ausland;abroad
Ausländer;foreigner, male foreigner
Ausländerin;foreigner, female foreigner
ausmachen;to turn off
ausruhen;to have a rest
ausschalten;to switch off
ausschlafen;to have a lie in
aussehen;to look, to appear
Aussicht;view
äußerst;extremely
aussteigen;to get off
Ausstellung;exhibition
austauschen;to exchange
Auswahl;choice, selection
Ausweis;identity card, I.D, ID
ausziehen; to get undressed
Auto;car
Autobahn;motorway
Automat;machine *automatic
Babysitten;babysitting
babysitten;to baby sit
Bach;stream
backen;to bake
Backstein;brick *lit. bake stone
Bad;bath
baden;to bathe
Badeort;seaside resort, resort
Badewanne;bath, bathtub, tub
Badezimmer;bathroom
Bahn;railway
Bahnsteig;platform
Bahnhof;station
Bahnübergang;level crossing
bald;soon
Ball;ball, sports ball
Bär;bear
Bart;beard
basteln;to make things, do DIY
Bauch;tummy
bauen;to build
Bauernhof;farm
Baum;tree
Baumwolle;cotton
Baustelle;building site, roadworks
Beamte, Beamtin; civil servant, official
bedecken;to cover
bedeckt;overcast
bedeuten;to mean
bedienen;to serve, to operate
Bedienung;service, restaurant service
befinden;to be situated
befriedigend;satisfactory
begegnen;to meet
